HEADER	5	7	200	20	88		
BOM	0	2	30				
BOM	0	4	57				
BOM	1	0	148				
BOM	1	1	51				
BOM	1	2	64				
BOM	1	4	18				
BOM	2	1	130				
BOM	2	2	59				
BOM	3	0	35				
BOM	3	1	4				
BOM	3	2	129				
BOM	3	3	72				
BOM	4	0	189				
BOM	4	2	152				
BOM	4	3	113				
BOM	5	0	95				
BOM	5	1	181				
BOM	5	2	3				
BOM	5	3	39				
BOM	6	3	33				
COMBI	0	1	1	0			
COMBI	0	1	3	5814			
COMBI	0	1	4	4885			
COMBI	0	1	5	5590			
COMBI	0	3	1	5814			
COMBI	0	3	3	0			
COMBI	0	3	4	9430			
COMBI	0	3	5	7775			
COMBI	0	4	1	4885			
COMBI	0	4	3	9430			
COMBI	0	4	4	0			
COMBI	0	4	5	8128			
COMBI	0	5	1	5590			
COMBI	0	5	3	7775			
COMBI	0	5	4	8128			
COMBI	0	5	5	0			
COMBI	1	1	1	0			
COMBI	1	1	2	7500			
COMBI	1	1	3	6452			
COMBI	1	1	5	5057			
COMBI	1	2	1	7500			
COMBI	1	2	2	0			
COMBI	1	2	3	9675			
COMBI	1	2	5	7330			
COMBI	1	3	1	6452			
COMBI	1	3	2	9675			
COMBI	1	3	3	0			
COMBI	1	3	5	7755			
COMBI	1	5	1	5057			
COMBI	1	5	2	7330			
COMBI	1	5	3	7755			
COMBI	1	5	5	0			
COMBI	2	0	0	0			
COMBI	2	0	1	5050			
COMBI	2	0	2	7273			
COMBI	2	0	3	8017			
COMBI	2	0	4	5620			
COMBI	2	0	5	8133			
COMBI	2	1	0	5050			
COMBI	2	1	1	0			
COMBI	2	1	2	8885			
COMBI	2	1	3	7230			
COMBI	2	1	4	7162			
COMBI	2	1	5	2282			
COMBI	2	2	0	7273			
COMBI	2	2	1	8885			
COMBI	2	2	2	0			
COMBI	2	2	3	7088			
COMBI	2	2	4	5077			
COMBI	2	2	5	1348			
COMBI	2	3	0	8017			
COMBI	2	3	1	7230			
COMBI	2	3	2	7088			
COMBI	2	3	3	0			
COMBI	2	3	4	5611			
COMBI	2	3	5	1972			
COMBI	2	4	0	5620			
COMBI	2	4	1	7162			
COMBI	2	4	2	5077			
COMBI	2	4	3	5611			
COMBI	2	4	4	0			
COMBI	2	4	5	1299			
COMBI	2	5	0	8133			
COMBI	2	5	1	2282			
COMBI	2	5	2	1348			
COMBI	2	5	3	1972			
COMBI	2	5	4	1299			
COMBI	2	5	5	0			
COMBI	3	3	3	0			
COMBI	3	3	4	1775			
COMBI	3	3	5	3315			
COMBI	3	3	6	7597			
COMBI	3	4	3	1775			
COMBI	3	4	4	0			
COMBI	3	4	5	3689			
COMBI	3	4	6	5041			
COMBI	3	5	3	3315			
COMBI	3	5	4	3689			
COMBI	3	5	5	0			
COMBI	3	5	6	5481			
COMBI	3	6	3	7597			
COMBI	3	6	4	5041			
COMBI	3	6	5	5481			
COMBI	3	6	6	0			
COMBI	4	0	0	0			
COMBI	4	0	1	2469			
COMBI	4	1	0	2469			
COMBI	4	1	1	0			
ORDER	0	2	6931	24821	20	6360	3520
ORDER	1	6	4008	25579	4	1412	3112
ORDER	2	5	2863	29939	5	1515	9184
ORDER	3	1	756	25675	14	4620	4818
ORDER	4	0	192	29697	21	7224	6026
ORDER	5	4	4790	21922	29	6351	9154
ORDER	6	0	1050	27908	9	3096	3643
ORDER	7	2	1166	23139	18	5724	7726
ORDER	8	3	8273	25812	11	3927	6584
ORDER	9	3	6755	21402	28	9996	2744
ORDER	10	1	6565	22420	21	6930	9118
ORDER	11	2	17821	28362	12	3816	1098
ORDER	12	1	4625	22204	2	660	4747
ORDER	13	0	9145	23568	22	7568	2182
ORDER	14	0	2476	29132	6	2064	6418
ORDER	15	2	11588	24622	6	1908	8271
ORDER	16	2	1898	29326	2	636	4319
ORDER	17	3	2294	28857	14	4998	9722
ORDER	18	3	13359	26436	14	4998	1657
ORDER	19	5	155	28096	26	7878	4987
ORDER	20	2	4092	24251	13	4134	9421
ORDER	21	0	9312	24945	25	8600	9657
ORDER	22	5	6276	28675	21	6363	6781
ORDER	23	5	1663	23999	26	7878	5410
ORDER	24	6	3016	22720	13	4589	8988
ORDER	25	2	7886	26513	16	5088	6036
ORDER	26	5	1157	26279	18	5454	8144
ORDER	27	1	3469	24629	23	7590	54
ORDER	28	3	2770	22639	11	3927	2057
ORDER	29	1	3830	15593	30	9900	3217
ORDER	30	2	5941	18582	4	1272	6916
ORDER	31	5	4447	15616	19	5757	691
ORDER	32	2	466	17364	29	9222	4329
ORDER	33	4	1158	28695	26	5694	1432
ORDER	34	5	4	29970	2	606	3258
ORDER	35	3	164	21983	6	2142	1191
ORDER	36	2	17581	27713	9	2862	694
ORDER	37	2	5996	16288	18	5724	2088
ORDER	38	3	7834	22895	20	7140	2331
ORDER	39	3	2303	29619	28	9996	2003
ORDER	40	3	462	27906	13	4641	7129
ORDER	41	1	15260	25955	9	2970	9383
ORDER	42	1	3426	19953	25	8250	4579
ORDER	43	2	1821	29844	24	7632	2707
ORDER	44	5	8743	23268	7	2121	6313
ORDER	45	2	9871	26478	26	8268	5933
ORDER	46	2	2094	22973	17	5406	966
ORDER	47	1	6372	28699	20	6600	5518
ORDER	48	1	8730	21869	7	2310	5608
ORDER	49	6	1037	29021	4	1412	4112
ORDER	50	3	85	25944	7	2499	5934
ORDER	51	5	2726	23951	5	1515	6560
ORDER	52	3	14790	29921	10	3570	5362
ORDER	53	5	8254	19128	26	7878	4487
ORDER	54	6	5279	18602	11	3883	2120
ORDER	55	3	1857	18503	25	8925	1692
ORDER	56	3	2284	14065	18	6426	8815
ORDER	57	5	2395	15113	29	8787	1215
ORDER	58	2	16258	27207	15	4770	9345
ORDER	59	1	515	29653	7	2310	7286
ORDER	60	0	10115	23373	8	2752	2645
