34	0	4	4	194
113	2	5	5	605
69	3	44	44	704
169	0	194	7969	8109
136	0	8109	13923	15107
50	0	15107	20921	21166
142	0	21166	28941	30841
108	1	114	114	4014
19	0	30841	30841	33311
35	0	33311	41086	41296
68	0	41296	41296	42031
62	3	704	704	1595
4	2	605	605	1235
170	0	42031	51461	55997
176	0	55997	55997	57131
61	0	57131	65259	66684
73	0	66684	66684	67064
128	0	67064	67064	67824
166	0	67824	75952	78598
147	1	4014	4014	6874
114	0	78598	78598	80677
40	0	80677	90107	90562
32	1	6874	6874	10644
59	0	90562	96376	97412
133	0	97412	102297	107400
180	0	107400	112285	113321
3	0	113321	113321	115393
171	2	1235	1235	1385
89	0	115393	120278	121034
124	2	1385	1385	1595
175	0	121034	121034	121979
121	0	121979	121979	125570
71	0	125570	135000	135945
100	0	135945	145375	149533
158	0	149533	154418	156638
119	3	1595	1595	2519
49	3	2519	2519	2651
6	2	1595	1595	1865
75	0	156638	156638	159302
162	0	159302	164187	167589
156	0	167589	167589	168345
87	0	168345	168345	170613
26	0	170613	178741	180451
33	0	180451	188579	193493
7	1	10644	10644	12984
93	1	12984	12984	16884
79	0	193493	193493	197462
191	0	197462	202347	204863
149	0	204863	210453	212638
198	0	212638	220413	220483
118	0	220483	220483	221183
183	1	16884	16884	17144
85	0	221183	230613	234582
65	1	17144	17144	20134
186	0	234582	244012	244537
78	0	244537	252312	255162
23	0	255162	255162	257632
132	0	257632	257632	260387
172	0	260387	260387	263047
95	0	263047	271175	275333
123	0	275333	283461	283746
63	0	283746	291521	292151
43	1	20134	20134	23254
55	0	292151	292151	293026
16	1	23254	23254	23514
102	0	293026	298840	300468
46	1	23514	23514	25724
135	3	2651	2651	2981
103	0	300468	306282	306842
56	0	306842	306842	307472
17	0	307472	307472	307962
39	0	307962	307962	308942
122	0	308942	314756	315348
125	0	315348	321162	322037
57	0	322037	329812	332567
66	3	2981	2981	3311
14	2	2476	2476	2656
167	0	332567	340695	344097
101	2	2673	2673	3423
51	0	344097	352225	352700
185	0	352700	360828	363663
28	0	363663	373093	373478
2	0	373478	381253	381728
116	0	381728	387318	390130
86	0	390130	395015	400496
174	1	25724	25724	25854
24	3	3311	3311	3740
184	0	400496	408624	409004
131	0	409004	417132	421668
70	0	421668	431098	432008
144	0	432008	439783	440068
126	0	440068	445658	449358
76	0	449358	454243	459346
129	2	3423	3423	3543
42	0	459346	464231	467931
27	0	467931	467931	471335
152	2	3543	3543	4083
148	1	25854	25854	27284
182	0	471335	476220	481890
193	0	481890	486775	487959
64	0	487959	487959	489291
29	0	489291	489291	493731
130	0	493731	493731	496247
1	3	4008	4008	4140
160	0	496247	496247	499503
88	0	499503	499503	502167
151	1	27284	27284	28584
20	1	28584	28584	30274
81	0	502167	507052	507997
187	1	30274	30274	33654
98	0	507997	517427	518197
194	0	518197	518197	518477
31	0	518477	526252	528057
110	0	528057	533647	536459
12	0	536459	536459	536755
80	1	33654	33654	35734
5	0	536755	541640	547121
173	0	547121	555249	555914
92	0	555914	555914	558194
54	3	5279	5279	5642
105	1	35734	35734	36644
139	0	558194	566322	569913
94	0	569913	574798	574946
82	0	574946	580536	581296
90	2	5502	5502	5772
72	0	581296	589424	590558
30	1	36644	36644	37164
37	1	37164	37164	39504
138	0	590558	590558	591881
188	2	6264	6264	6324
22	0	591881	600009	602004
47	0	602004	607594	610554
111	1	39504	39504	43274
143	0	610554	615439	620920
10	0	620920	625805	628913
178	0	628913	634503	634693
150	0	634693	640283	640727
9	0	640727	646541	647521
112	0	647521	655296	655676
120	0	655676	663804	667206
0	1	43274	43274	45874
165	0	667206	672091	676087
109	1	45874	45874	46394
159	0	676087	676087	677271
153	3	7502	7502	8162
84	0	677271	677271	680823
157	3	8162	8162	8789
38	0	680823	686637	687337
25	1	46394	46394	48474
154	0	687337	687337	687792
53	0	687792	695567	698037
8	0	698037	705812	706197
197	0	706197	715627	716572
48	0	716572	721457	722493
179	0	722493	727378	729646
127	2	8743	8743	9403
44	0	729646	737774	738439
181	2	9403	9403	9793
77	0	738439	746214	746354
96	3	9133	9133	9628
13	2	9793	9793	10453
21	2	10453	10453	11203
45	1	48474	48474	51854
60	2	11203	11203	11443
189	0	746354	754129	756694
192	2	11443	11443	11863
196	0	756694	764469	764574
117	0	764574	772349	775199
91	0	775199	775199	775769
67	0	775769	781359	782691
168	2	11863	11863	12313
15	1	51854	51854	52634
164	0	782691	782691	785207
99	0	785207	785207	785503
163	1	52634	52634	53934
141	0	785503	790388	792845
115	0	792845	802275	803115
145	0	803115	808929	811741
106	0	811741	816626	817382
140	0	817382	826812	827022
107	0	827022	827022	827127
199	0	827127	832941	836345
137	0	836345	836345	837381
97	0	837381	843195	843720
18	0	843720	843720	844210
74	0	844210	850024	850764
161	1	53934	53934	57444
83	3	14119	14119	14548
52	0	850764	856578	856928
104	2	14885	14885	15185
146	0	856928	866358	868059
195	0	868059	868059	870138
41	0	870138	875023	876355
58	1	57444	57444	59394
177	1	59394	59394	61084
36	1	61084	61084	62254
11	1	62254	62254	63814
155	2	18003	18003	18453
190	0	876355	881240	882941
134	0	882941	887826	888862
